PI Name,Dept/Division list,Title list,Year list
"Miguel, Edward","['Center of Evaluation for Global Action', 'Center of Evaluation for Global Action', 'IBER Institute of Business & Economic Research', 'Center of Evaluation for Global Action', 'Center of Evaluation for Global Action', 'Center of Evaluation for Global Action', 'Center of Evaluation for Global Action', 'Center of Evaluation for Global Action', 'Center of Evaluation for Global Action', 'IBER Institute of Business & Economic Research', 'IBER Institute of Business & Economic Research']","['East African Social Science Translation (EASST) Collaborative', 'East African Social Science Translation (EASST) Collaborative', 'Evaluating Best Practices: Impact Evaluation Training for Developing Country Health Professionals', 'East African Social Science Translation (EASST) Collaborative', 'East African Social Science Translation (EASST) Collaborative', 'East African Social Science Translation (EASST) Collaborative', 'East African Social Science Translation (EASST) Collaborative', 'East African Social Science Translation (EASST) Collaborative', 'East African Social Science Translation (EASST) Collaborative', 'Evaluating Best Practices: Impact Evaluation Training for Developing Country Health Professionals', 'Evaluating Best Practices: Impact Evaluation Training for Developing Country Health Professionals']","[2013, 2012, 2008, 2012, 2012, 2012, 2012, 2012, 2012, 2008, 2008]"
"Mishler, Brent D","['BNHM Admin Svcs', 'BNHM Admin Svcs', 'BNHM Admin Svcs', 'BNHM Admin Svcs', 'BNHM Admin Svcs', 'BNHM Admin Svcs', 'BNHM Admin Svcs', 'BNHM Admin Svcs']","['Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops', 'Native Plant Materials and Invasive Plants: UC Jepson Herbarium Workshops']","[2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008]"
"Morrison, H Frank",['Earth & Planetary Science'],['The Berkeley Internet Course in Applied Geophysics'],[2011]
"Muller, Susan J","['Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean', 'Graduate Division Dean']","['Fulbright-Hays Doctoral Dissertation Research Abroad ', 'Fulbright-Hays Doctoral Dissertation Research Abroad ', 'Fulbright-Hays Doctoral Dissertation Research Abroad ', 'Fulbright-Hays Doctoral Dissertation Research Abroad ', 'Fulbright-Hays Doctoral Dissertation Research Abroad ', 'Fulbright-Hays Doctoral Dissertation Research Abroad ', 'Fulbright-Hays Doctoral Dissertation Research Abroad ']","[2012, 2013, 2013, 2012, 2012, 2012, 2012]"
"Musheno, Michael C","['Boalt Law School', 'Boalt Law School']","['COPING - Policy Implementation in Stressful Times: Analyzing Coping Strategies of Civil Servants', 'COPING - Policy Implementation in Stressful Times: Analyzing Coping Strategies of Civil Servants']","[2013, 2013]"
"Napoli, Joseph","['Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology']","['Pre-doctoral Training in Molecular and Biochemical Nutrition', 'Molecular and Biochemical Nutrition ', 'Molecular and Biochemical Nutrition ', 'Pre-doctoral Training in Molecular and Biochemical Nutrition', 'Pre-doctoral Training in Molecular and Biochemical Nutrition', 'Molecular and Biochemical Nutrition ', 'Pre-doctoral Training in Molecular and Biochemical Nutrition', 'Pre-doctoral Training in Molecular and Biochemical Nutrition', 'Molecular and Biochemical Nutrition ', 'Molecular and Biochemical Nutrition ']","[2012, 2007, 2007, 2012, 2012, 2007, 2012, 2012, 2007, 2007]"
"Nelson, Kara L","['ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization']","['Impact of Conversion from Intermittent to Continuous Water Supply in Hubli-Dharwad, India Expanding International Research Opportunities for U.S. Students', 'Impact of Conversion from Intermittent to Continuous Water Supply in Hubli-Dharwad, India Expanding International Research Opportunities for U.S. Students', 'Impact of Conversion from Intermittent to Continuous Water Supply in Hubli-Dharwad, India Expanding International Research Opportunities for U.S. Students']","[2010, 2010, 2010]"
"Nielsen, Rasmus","['IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology']","['Detecting Admixture in Anopheles Malaria Vectors', 'Detecting Admixture in Anopheles Malaria Vectors', 'Detecting Admixture in Anopheles Malaria Vectors', 'Detecting Admixture in Anopheles Malaria Vectors', 'Detecting Admixture in Anopheles Malaria Vectors']","[2013, 2013, 2013, 2013, 2013]"
"Nolan, Deborah A","['Dean, Physical Sciences', 'Dean, Physical Sciences', 'Dean, Physical Sciences', 'Statistics', 'Division of Physical Sciences', 'Division of Physical Sciences', 'Dean, Physical Sciences', 'Statistics', 'Statistics', 'Dean, Physical Sciences', 'Statistics', 'Statistics', 'Statistics']","['Full Proposal to Replicate UTeach at UC Berkeley', 'Cal Teach at Berkeley: Robert Noyce Teacher Scholarship Program', 'Sustaining and Evaluating STEM Teacher Quality and Retention at Cal Teach Berkeley', 'Explorations in Statistics Research', 'A Proposal to the S.D. Bechtel, Jr. Foundation For Support of California Teach at the University of California, Berkeley', 'A Proposal to the S.D. Bechtel, Jr. Foundation For Support of California Teach at the University of California, Berkeley', 'Cal Teach at Berkeley: Robert Noyce Teacher Scholarship Program', 'Explorations in Statistics Research', 'Explorations in Statistics Research', 'Cal Teach at Berkeley: Robert Noyce Teacher Scholarship Program', 'Explorations in Statistics Research', 'Explorations in Statistics Research', 'Explorations in Statistics Research']","[2007, 2009, 2015, 2009, 2007, 2007, 2009, 2009, 2009, 2009, 2009, 2009, 2009]"
"Norena, Carlos F","['History', 'History', 'History', 'History', 'History', 'History', 'History', 'History', 'History', 'History']","['No Child Left Behind 8 - California Subject matter Project Request for Proposals', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) 6 Technical Assistance and Support Program', 'California Subject Matter Project (CSMP) Application for Continued Funding: No Child Left Behind 7 (NCLB7)', 'California Subject Matter Projects - No Child Left Behind 10 (CSMP NCLB10)', 'University of California, Berkeley History-Social Science Project Site', 'CSMP State Fund - California Subject Matter Project Request for Proposals', 'CSMP State Fund - California Subject Matter Project Request for Proposals', 'CSMP State Fund - California Subject Matter Project Request for Proposals', 'YMCA Youth and Government', ""Created Equal: America's Civil Rights Struggle""]","[2011, 2009, 2010, 2013, 2012, 2011, 2011, 2011, 2014, 2013]"
