PI Name,Dept/Division list,Title list,Year list
"Aaron, Holly L",['Cancer Research Laboratory'],['Advanced Imaging Workshop'],[2007]
"Agogino, Alice M",['Mechanical Engineering'],['Approximate Models for Closed-Loop Trajectory Tracking in Underactuated Systems'],[2015]
"Alter, Robert B","['Jewish Graduate Studies', 'Jewish Graduate Studies', 'Jewish Graduate Studies', 'Jewish Graduate Studies']","['Jewish Studies Course Support & Student Fellowship', 'Newhouse Graduate Fellowships and YIddish Instruction', 'Graduate Student Fellowships and Yiddish Language Instructions', 'Jewish Studies Course Support & Student Fellowship']","[2007, 2007, 2009, 2007]"
"Ames, Genevieve","['Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health']","['Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program', 'Prevention Science Research Training Program']","[2009, 2009, 2009, 2009, 2009, 2009, 2009, 2009, 2009]"
"Ammon, Paul R","['Graduate Education', 'Graduate Education']","['The Arts Education Initiative at Berkeley: Changing the Culture of Education for New Teachers and School Leaders through the Arts', 'The Arts Education Initiative at Berkeley: Changing the Culture of Education for New Teachers and School Leaders through the Arts']","[2009, 2009]"
"Arnold, John","['Chemistry Department', 'Chemistry Department']","['IGERT: Systems Approach to Green Energy (SAGE)', 'Materials Chemistry in the Undergraduate Laboratory: Synthesis, Characterization and Properties']","[2012, 2008]"
"Asanovic, Krste","['EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences']","['GAANN ', 'GAANN ', 'GAANN ']","[2012, 2012, 2012]"
"Auffhammer, Maximilian",['Haas Centers and Institutes'],['Energy Institute at Haas Summer School'],[2015]
"Baker, Robin","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['California Worker Training Program (WOSHTEP)', 'California Worker Training program (WOSHTEP)', 'Using Best Practices to Disseminate Occupational Health Information to Hard to Reach Workers', 'California School Action Safety & Health (SASH) Program', 'The National Young Worker Safety Resource Center; Providing Health and Safety Training and Information to Young Workers and their Employers', 'Health and Safety for All: Training and Services for Hard to Reach Workers in Small Business', 'The National Young Worker Safety Resource Center:  Providing Health and Safety Training and Information to Young Workers and Their Employers', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'Worker Health and Safety Training Cooperative Agreement', 'Worker Health and Safety Training Cooperative Agreement', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'California School Action Safety and Health Program (SASH)', 'Domestic Worker Safety and Dignity Project', 'Worker Health and Safety Training Cooperative Agreement', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'Worker Health and Safety Training Cooperative Agreement', 'California Partnership for Young Worker Health and Safety', 'California Partnership for Young Worker Health and Safety', 'California Worker Training program (WOSHTEP)', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'California Worker Training program (WOSHTEP)', 'Occupational Safety and Health Training for Workers with Disabilities', 'Worker Health and Safety Training Cooperative Agreement', 'Health and Safety Issues of Workers with Developmental Disabilities', 'California Worker Training Program (WOSHTEP)', 'Health and Safety Issues of Workers with Developmental Disabilities', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'California School Action Safety & Health (SASH) Program', 'The National Young Worker Safety Resource Center; Providing Health and Safety Training and Information to Young Workers and their Employers', 'Worker Health and Safety Training Cooperative Agreement-Port Project', 'The National Young Worker Safety Resource Center:  Providing Health and Safety Training and Information to Young Workers and Their Employers']","[2008, 2007, 2010, 2008, 2009, 2010, 2007, 2007, 2007, 2010, 2010, 2009, 2010, 2008, 2009, 2009, 2010, 2008, 2007, 2007, 2007, 2007, 2008, 2009, 2009, 2008, 2009, 2007, 2008, 2009, 2007, 2007]"
"Bale, Stuart","['SSL Space Sciences Lab', 'SSL Space Sciences Lab']","['CSU Star Program', 'CSU Star Program']","[2013, 2013]"
"Balmes, John R","['SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", 'Public Health', 'SPH Divisional Rsrch and Cntrs', 'Public Health', 'Public Health', 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers', 'Occupational Safety and Health Education and Research Centers']","[2015, 2010, 2007, 2010, 2015, 2010, 2007, 2010, 2010, 2007, 2010, 2007, 2015, 2007, 2007, 2015, 2010, 2010, 2010, 2010, 2010, 2010]"
"Bamberger, Kenneth",['Boalt Law School'],['Israel Institute Visiting Fellow 2015-16'],[2015]
"Bamberger, Kenneth A","['Boalt Law School', 'Law', 'Boalt Law School', 'Boalt Law School', 'Boalt Law School', 'Boalt Law School', 'Boalt Law School', 'Boalt Law School', 'Boalt Law School']","['Curricular Fund', 'Goldman Visiting Israeli Professor in the Institute for Jewish Law and Israeli Law, Economy and Society', 'Israel Institute Visiting Fellow 2014-15', 'Fund for a Visiting Scholar and Lecturer in Jewish Law in the Berkeley Institute for Jewish Law and Israeli Law, Economy and Society', 'Fund for a Visiting Israeli Scholar in the Berkeley Institute for Jewish Law and Israeli Law, Economy and Society', 'Fund for a Visiting Scholar and Lecturer in Jewish Law in the Berkeley Institute for Jewish Law and Israeli Law, Economy and Society', 'Fund for a Visiting Israeli Scholar in the Berkeley Institute for Jewish Law and Israeli Law, Economy and Society', 'Israel Institute Visiting Fellow 2014-15', 'Fund for a Visiting Scholar and Lecturer in Jewish Law in the Berkeley Institute for Jewish Law and Israeli Law, Economy and Society']","[2011, 2011, 2014, 2013, 2012, 2012, 2012, 2014, 2012]"
"Basri, Gibor","['Academic Achievement Division', ""DSP Disabled Students' Program"", 'Center for Educational Partnerships', ""DSP Disabled Students' Program"", 'Center for Educational Partnerships', 'Center for Educational Partnerships', 'Center for Educational Partnerships', 'VC Equity & Inclusion Immediate Office', 'Center for Educational Partnerships', 'Center for Educational Partnerships', 'Center for Educational Partnerships', 'Center for Educational Partnerships', ""DSP Disabled Students' Program"", ""DSP Disabled Students' Program"", ""DSP Disabled Students' Program"", 'Academic Achievement Division', ""DSP Disabled Students' Program""]","['Ronald E. McNair Postbaccalaureate Achievement Program', ""Disabled Students' Program TRIO/Student Support Services Project"", 'Upward Bound Math and Science (UBMS) Program (84.047M)', 'Disabled Students Residence Program', 'General Operations', 'Young Musicians’ Program Operations Fund', 'Upward Bound Math and Science (UBMS) Program (84.047M)', 'Creating Connections Consortium', 'Young Musicians Program Operations Fund', 'General Operating Support for the Young Musicians Program 2012-2014', 'Young Musicians Program Operations Fund', 'Upward Bound Math and Science (UBMS) Program (84.047M)', ""Disabled Students' Program TRIO/Student Support Services Project"", ""Disabled Students' Program TRIO/Student Support Services Project"", ""Disabled Students' Program TRIO/Student Support Services Project"", 'Ronald E. McNair Postbaccalaureate Achievement Program', ""Disabled Students' Program TRIO/Student Support Services Project""]","[2012, 2010, 2007, 2012, 2011, 2008, 2007, 2013, 2009, 2012, 2010, 2007, 2010, 2010, 2010, 2012, 2010]"
"Bates, Michael N","[""Dean's Office, Public Health""]",['Summer Training Program in Environmental Health Sciences for Undergraduate Students'],[2013]
"Berger, James M",['The California Institute for Quantitative Biosciences (QB3)'],['Molecular Mechanism of DNA Unwinding by the Eukaryotic Replicative Helicase'],[2009]
"Bergman, Lowell","['Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department']","['To Help the UC Berkeley Investigative Reporting Program Promote Collaborative New Projects', 'News 21:  Hunting Corruption', 'Investigative Reporting Fellowships', 'Investigative Reporting Fellowships', 'News 21:  Hunting Corruption', 'News 21:  Hunting Corruption', 'News 21:  Hunting Corruption']","[2010, 2011, 2007, 2007, 2011, 2011, 2011]"
"Bertozzi, Carolyn R","['Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department', 'Chemistry Department']","['UCB Chemistry-Biology Interface Training Program', 'Chemical Biology Graduate Program Student Support', 'University of California Berkeley Chemistry-Biology Interface Training Program', 'Cell Surface Enginneering for Immunoisolation in Cell Transplant Therapies', 'Synthesis and Application of Smart Bioorthogonal Reagents for In Vivo Imaging', 'A Chemical Reporter Strategy to Probe Sialic Acid in Cancer/Tumor Models', 'A Chemical Reporter Strategy to Probe Sialic Acid in Cancer/Tumor Models', 'UCB Chemistry-Biology Interface Training Program', 'UCB Chemistry-Biology Interface Training Program', 'UCB Chemistry-Biology Interface Training Program', 'University of California Berkeley Chemistry-Biology Interface Training Program', 'University of California Berkeley Chemistry-Biology Interface Training Program', 'Synthesis and Application of Smart Bioorthogonal Reagents for In Vivo Imaging', 'University of California Berkeley Chemistry-Biology Interface Training Program', 'University of California Berkeley Chemistry-Biology Interface Training Program', 'University of California Berkeley Chemistry-Biology Interface Training Program', 'A Chemical Reporter Strategy to Probe Sialic Acid in Cancer/Tumor Models', 'UCB Chemistry-Biology Interface Training Program', 'UCB Chemistry-Biology Interface Training Program', 'UCB Chemistry-Biology Interface Training Program', 'UCB Chemistry-Biology Interface Training Program', 'Cell Surface Enginneering for Immunoisolation in Cell Transplant Therapies']","[2009, 2010, 2009, 2012, 2009, 2013, 2013, 2009, 2009, 2009, 2009, 2009, 2009, 2009, 2009, 2009, 2013, 2009, 2009, 2009, 2009, 2012]"
"Bickel, Peter J","['The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)']","['Removing Statistical Bottle-Necks in Data Analysis for the ENCODE Consortium', 'Removing Statistical Bottle-Necks in Data Analysis for the ENCODE Consortium', 'Removing Statistical Bottle-Necks in Data Analysis for the ENCODE Consortium', 'Removing Statistical Bottle-Necks in Data Analysis for the ENCODE Consortium']","[2012, 2012, 2012, 2012]"
"Bloom, Joan R","[""Dean's Office, Public Health"", 'Public Health']","['Susan G. Komen Graduate Training in Breast Cancer Disparities at UC Berkeley', 'Provider Communication and Health in Breast Cancer Survivors']","[2015, 2008]"
"Bradman, Asa","['Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health']","['An Integrated Pest Management Curriculum for Urban Child Care Programs', 'An Integrated Pest Management Curriculum for Urban Child Care Programs', 'An Integrated Pest Management Curriculum for Urban Child Care Programs', 'An Integrated Pest Management Curriculum for Urban Child Care Programs', 'An Integrated Pest Management Curriculum for Urban Child Care Programs']","[2009, 2009, 2009, 2009, 2009]"
"Brenner, Steven E",['Plant & Microbial Biology Department'],['Algorithms for Protein Superfamily Classification and Function Prediction'],[2007]
"Bridges, Margaret",['IHD Institute of Human Development'],['Jumpstart - University - Preschool Partnership'],[2014]
"Brilliant, Mark",['History'],['The San Francisco Bay Area Home Front in World War II'],[2013]
"Bryan-Wilson, Julia Q",['Art History'],['The Humanities and Changing Conceptions of Work'],[2013]
"Buehring, Gertrude C","['Public Health', 'Public Health', 'Public Health']","['UC Berkeley - Public Health Lab Directors Training', 'UC Berkeley - Public Health Lab Directors Training', 'UC Berkeley - Public Health Lab Directors Training']","[2010, 2010, 2010]"
"Byrne, Anthony Roger",['Geography'],['Connecting the Outdoors to the Indoors: An Introductory Workshop in Field Work and Geospatial Technologies for Middle School Girls'],[2007]
"Carmena, Jose M",['ERSO Engineering Research Support Organization'],['Neuroprosthesis Control via Cortical Modulation of Upper-Limb Muscle Activity'],[2007]
"Carson, Cathryn",['History of Science & Technology'],['STS Forum on Fukushima: Building a Transnational Research Agenda and Strategy for Engagement through a Social Scientific Understanding of Disasters and the Disaster Sciences'],[2012]
"Cascardi, Anthony J","['Dean, Arts & Humanities', 'IURD Institute of Urban & Regional Development', 'Dean, Arts & Humanities', 'Division of Arts & Humanities', 'Dean, Arts & Humanities', 'Townsend Center for the Humanities', 'Dean, Arts & Humanities', 'Division of Arts & Humanities', 'IURD Institute of Urban & Regional Development', 'Dean, Arts & Humanities', 'Dean, Arts & Humanities', 'Division of Arts & Humanities', 'Townsend Center for the Humanities', 'Division of Arts & Humanities', 'Division of Arts & Humanities']","['Capacity Building and Integration in the Digital Humanities', 'Engaging the Humanities and Environmental Design', ""UC Berkeley's Title VI  Language Instruction"", ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", 'UC Berkeley Project on Disciplinary Innovation: Course Threads', ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", 'Atlas of the Albany Bulb', ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", ""UC Berkeley's Title VI  Language Instruction"", ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", 'UC Berkeley Project on Disciplinary Innovation: Course Threads', ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program"", ""UC Berkeley's Mellon Mays Undergraduate Fellowship Program""]","[2014, 2013, 2012, 2008, 2012, 2007, 2012, 2008, 2014, 2012, 2012, 2008, 2007, 2008, 2008]"
"Castaneda, Xochitl","[""Dean's Office, Public Health""]","['9th, 10th, and 11th Summer Institute on Migration and Global Health']",[2014]
"Catalano, Ralph A","[""Dean's Office, Public Health"", 'Public Health', 'SPH Divisional Rsrch and Cntrs', 'Public Health', 'SPH Divisional Rsrch and Cntrs', 'Public Health', 'Public Health', ""Dean's Office, Public Health"", 'Public Health', 'SPH Divisional Rsrch and Cntrs', 'Public Health', ""Dean's Office, Public Health"", 'Public Health', 'Public Health']","['Robert Wood Johnson Health and Society Scholars Program', 'RWJF Health & Society Scholars', 'RWJF Health and Society Scholars', 'Robert Wood Johnson Health and Society Scholars Program', 'RWJF Health and Society Scholars', 'RWJF Health & Society Scholars', 'Robert Wood Johnson Health and Society Scholars Program', 'Robert Wood Johnson Health and Society Scholars Program', 'Robert Wood Johnson Health and Society Scholars Program', 'RWJF Health and Society Scholars', 'RWJF Health & Society Scholars', 'Food and Design Innovation Lab', 'RWJF Health & Society Scholars', 'RWJF Health & Society Scholars']","[2012, 2013, 2014, 2010, 2014, 2013, 2010, 2012, 2010, 2014, 2013, 2013, 2013, 2013]"
"Chandler, David",['Chemistry Department'],"['University of California, Berkeley Statistical Mechanics Meetings, 2009, 2010, and 2011']",[2008]
"Chang, Christopher","['The California Institute for Quantitative Biosciences (QB3)', 'Chemistry Department', 'The California Institute for Quantitative Biosciences (QB3)']","['University of California Berkeley Chemistry-Biology Interface Training Program', 'Genentech Foundation Chemical Biology Graduate Fellowship', 'University of California Berkeley Chemistry-Biology Interface Training Program']","[2014, 2013, 2014]"
"Cheah, Pheng","['Graduate Division', 'CSEAS Center for Southeast Asian Studies']","['Foreign Language and Area Studies Fellowships', 'UC Berkeley - UC Los Angeles Consortium for Southeast Asian Studies']","[2014, 2014]"
"Chow, Julian","['Social Welfare', 'Social Welfare', 'Social Welfare']","['Organizational Characteristics and Ethnic Minority Access to Human Services: What is the Relationship?', 'Immigration, Minotiry Businesses, and Spatial Mismatch in HUD Renewal Communities, Empowerment Zones, and Enterprise Communities', 'Immigration, Minotiry Businesses, and Spatial Mismatch in HUD Renewal Communities, Empowerment Zones, and Enterprise Communities']","[2010, 2007, 2007]"
"Chu, Cecilia Pao-Yung","['East Asian Languages', 'East Asian Languages', 'East Asian Languages']","['CANCKU/Berkeley', 'Chinese Linguistics Course', 'Chinese Linguistics Course']","[2009, 2007, 2007]"
"Citrin, Jack",['IGS Institute of Governmental Studies'],['General Operating Support for Institute of Governmental Studies'],[2010]
"Cobb, Bethany E",['Astronomy'],['NSF Astronomy and Astrophysics Postdoctoral Fellows Annual Symposium'],[2009]
"Collins, Kathleen","['MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology']","['The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function']","[2007, 2007, 2007, 2007, 2007]"
"Connelly, John","['Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies']","['National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program', 'National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program']","[2010, 2010, 2010, 2010, 2010, 2010, 2010, 2010]"
"Covello, Claudia",['Associate VC - Health & Human Services'],['On-the-Job Training for Healthcare Secture Career Initiative'],[2010]
"Crawford, Patricia","['CNR Office of the Dean', 'CNR Natural Resources', 'CNR Natural Resources', 'CNR Natural Resources', 'CNR Natural Resources']","['Robert Wood Johnson Foundation Health Policy Fellow', 'The Rosalinde and Arthur Gilbert Fellowship: Environmental and Policy Solutions for the Prevention of Obesity and Type 2 Diabetes', 'Northern California Healthy Eating, Active Living (HEAL) - Community Health Initiative Technical Assistance ', 'The Rosalinde and Arthur Gilbert Fellowship: Environmental and Policy Solutions for the Prevention of Obesity and Type 2 Diabetes', 'The Rosalinde and Arthur Gilbert Fellowship: Environmental and Policy Solutions for the Prevention of Obesity and Type 2 Diabetes']","[2013, 2008, 2007, 2008, 2008]"
"Crittenden, Camille",['CITRIS Ctr for Info Tech Research in the Interest of Society'],['CC-DNI: Pacific Research Platform (PRP)'],[2015]
"D'Esposito, Mark","['Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute']","['Optimizing Neurorehabilitation Using Biomarkers of Neuropsychological and Functional Change after Cognitive Retraining', 'Optimizing Neurorehabilitation Using Biomarkers of Neuropsychological and Functional Change after Cognitive Retraining', 'Optimizing Neurorehabilitation Using Biomarkers of Neuropsychological and Functional Change after Cognitive Retraining']","[2007, 2007, 2007]"
"Dan, Yang","['Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute']","['Cholinergic Modulation of Visual Cortical Processing', 'Cholinergic Modulation of Visual Cortical Processing', 'Cholinergic Modulation of Visual Cortical Processing', 'Cholinergic Modulation of Visual Cortical Processing', 'Cholinergic Modulation of Visual Cortical Processing']","[2008, 2008, 2008, 2008, 2008]"
"Dandelet, Thomas J","['History', 'History']","['California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program, Supplement', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program, Supplement']","[2007, 2007]"
"Davis, Sam","['Social Welfare', 'Social Welfare']","['Title IV-E Social Work Training Progam', 'Title IV-E Social Work Training Progam']","[2011, 2011]"
"Dillin, Andrew","['MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology']","['Postgraduate Training Program in Genetics', 'Postgraduate Training Program in Genetics', 'Postgraduate Training Program in Genetics', 'Postgraduate Training Program in Genetics', 'Postgraduate Training Program in Genetics']","[2011, 2011, 2011, 2011, 2011]"
"Dornfeld, David A","['ERSO Engineering Research Support Organization', 'Mechanical Engineering', 'ERSO Engineering Research Support Organization']","['Support for Student and Postdoc Participation in the 19th CIRP Conference on Life Cycle Engineering (LCE 2012)', 'Support for Senior Undergraduate and Graduate Student Researcher Participation in the 6th CIRP Conference on High Performance Cutting', 'Support for Student and Postdoc Participation in the 19th CIRP Conference on Life Cycle Engineering (LCE 2012)']","[2012, 2014, 2012]"
"Duerr Berrick, Jill","['Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare']","['To Pilot the Masters in Social Work Student - CASA Volunteer Program', ""Constructing Maltreatment: An Urban Child Welfare Agency's Response to Child Exposure to Domestic Violence"", 'Do Accidents Happen? An Examination of Injury Morbidity and Mortality Among Maltreated Children', 'Measuring Poverty in the Panel Study of Income Dynamics', 'To Pilot the Masters in Social Work Student - CASA Volunteer Program', 'To Pilot the Masters in Social Work Student - CASA Volunteer Program', 'To Pilot the Masters in Social Work Student - CASA Volunteer Program']","[2009, 2013, 2010, 2011, 2009, 2009, 2009]"
"Edleson, Jeffrey L","['Social Welfare', 'Dept of Social Welfare', 'Dept of Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Dept of Social Welfare', 'Dept of Social Welfare', 'Social Welfare', 'Dept of Social Welfare', 'Dept of Social Welfare', 'Social Welfare', 'Social Welfare', 'Dept of Social Welfare', 'Dept of Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Dept of Social Welfare', 'Dept of Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Dept of Social Welfare', 'Dept of Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare']","['Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Mental Health Educational Stipend Program', 'Mental Health Educational Stipend Program', 'Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Behavioral Health Social Work Program', 'Regional Training Academy Coordination Project ', 'Regional Training Academy Coordination Project', 'Regional Training Academy Coordination Project', 'Behavioral Health Social Work Program', 'Regional Training Academy Coordination Project ', 'Regional Training Academy Coordination Project', 'Regional Training Academy Coordination Project', 'To provide Technical Assistance and Support for the Ready to Succeed and California Connected by 25 Initiatives', 'Regional Training Academy Coordination Project', 'Behavioral Health Workforce Education and Training for Professionals and Paraprofessionals', 'Behavioral Health Workforce Education and Training for Professionals and Paraprofessionals', 'Regional Training Academy Coordination Project', 'Regional Training Academy Coordination Project', 'Affordable Care Act Training for County Staff', 'To provide Technical Assistance and Support for the Ready to Succeed and California Connected by 25 Initiatives', 'Mental Health Educational Stipend Program', 'Regional Training Academy Coordination Project', 'Regional Training Academy Coordination Project', 'Behavioral Health Social Work Program', 'Behavioral Health Social Work Program', 'To provide Technical Assistance and Support for the Ready to Succeed and California Connected by 25 Initiatives', 'Regional Training Academy Coordination Project', 'To provide Technical Assistance and Support for the Ready to Succeed and California Connected by 25 Initiatives', 'To provide Technical Assistance and Support for the Ready to Succeed and California Connected by 25 Initiatives', 'To provide Technical Assistance and Support for the Ready to Succeed and California Connected by 25 Initiatives', 'Affordable Care Act Training for County Staff']","[2012, 2015, 2014, 2013, 2008, 2008, 2015, 2014, 2013, 2014, 2015, 2011, 2013, 2014, 2015, 2013, 2013, 2011, 2011, 2014, 2014, 2013, 2011, 2013, 2011, 2008, 2011, 2011, 2014, 2014, 2011, 2013, 2011, 2011, 2011, 2013]"
"Edley Jr, Christopher","['Boalt Law School', 'Boalt Law School', 'Boalt Law School', 'Boalt Law School']","['Developing a Training Program on Disproportionate Minority Contact: A Proposal for the California Corrections Standards Authority', 'Crime Victim/Witness Advocate Training and Certification', 'Developing a Training Program on Disproportionate Minority Contact: A Proposal for the California Corrections Standards Authority', 'Developing a Training Program on Disproportionate Minority Contact: A Proposal for the California Corrections Standards Authority']","[2011, 2012, 2011, 2011]"
"El-Askari, Elaine","['SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs']","['HWWT - Hazardous Materials Worker Health and Safety Training (U45)', 'Hazardous Material Worker Health and Safety Training (U45)', 'Hazardous Material Worker Health and Safety Training (U45)', 'Hazardous Material Worker Health and Safety Training (U45)', 'HDPT - Hazardous Materials Worker Health & Safety Training (U45)']","[2015, 2012, 2012, 2012, 2015]"
"Ellwood, John W","['Public Health', 'SPH Divisional Rsrch and Cntrs', 'Public Health', ""Dean's Office, Public Health"", 'Public Health']","['Robert Wood Johnson Foundation Scholars in Health Policy Research', 'Scholars in Health Policy Research', 'Scholars in Health Policy Research', 'Robert Wood Johnson Foundation Scholars in Health Policy Scholars', 'Robert Wood Johnson Foundation Scholars in Health Policy Research']","[2010, 2014, 2013, 2012, 2010]"
